Protein,Rank,Ligand_File,CID,Best_Affinity
AF-Q9LIK9-F1-model_v6,104,114 Conformer3D_COMPOUND_CID_61844_out.pdbqt,61844,-3.443
AF-Q9LIK9-F1-model_v6,105,90 Conformer3D_COMPOUND_CID_7919_out.pdbqt,7919,-3.44
AF-Q9LIK9-F1-model_v6,106,87 Conformer3D_COMPOUND_CID_6386_out.pdbqt,6386,-3.346
AF-Q9LIK9-F1-model_v6,107,13 Conformer3D_COMPOUND_CID_9964064_out.pdbqt,9964064,-3.264
AF-Q9LIK9-F1-model_v6,108,78 Conformer3D_COMPOUND_CID_8028_out.pdbqt,8028,-3.189
AF-Q9LIK9-F1-model_v6,109,70 Conformer3D_COMPOUND_CID_6857661_out.pdbqt,6857661,-3.175
AF-Q9LIK9-F1-model_v6,110,65 Conformer3D_COMPOUND_CID_8021_out.pdbqt,8021,-3.158
AF-Q9LIK9-F1-model_v6,111,88 Conformer3D_COMPOUND_CID_8823_out.pdbqt,8823,-3.029
AF-Q9LIK9-F1-model_v6,112,80 Conformer3D_COMPOUND_CID_176 (1)_out.pdbqt,176,-2.977
AF-Q9LIK9-F1-model_v6,113,77 Conformer3D_COMPOUND_CID_176_out.pdbqt,176,-2.975
AF-Q9LIK9-F1-model_v6,114,98 Conformer3D_COMPOUND_CID_176 (2)_out.pdbqt,176,-2.954
AF-Q9LIK9-F1-model_v6,115,96 Conformer3D_COMPOUND_CID_6599_out.pdbqt,6599,-2.818
AF-Q9LIK9-F1-model_v6,116,97 Conformer3D_COMPOUND_CID_702_out.pdbqt,702,-2.413
AF-Q9LIK9-F1-model_v6,117,62 Conformer3D_COMPOUND_CID_945_out.pdbqt,945,-2.326
AF-Q9LIK9-F1-model_v6,118,74 Conformer3D_COMPOUND_CID_11389353_out.pdbqt,11389353,-2.308
AF-Q9LIK9-F1-model_v6,119,67 Conformer3D_COMPOUND_CID_84878_out.pdbqt,84878,-2.273
